Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
53,Bad to the herringbone,Fashion inspired by the 30s and 40s,"Sectie-C area, Hall 10 - L, Daalakkersweg 10 -22",,"'Bad to the herringbone' is the new collection of women's and men's clothing from On the Sunny Side. This small label was born from a personal passion with the style and music of the early last century, but designed for the present time through sustainable materials and responsible pproduction",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/robin-ike-grijs_1693497817_1800x1010.jpg,https://ddw.nl/en/programme/10114/bad-to-the-herringbone,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Fashion Design
54,BALAMPS,The lamp that defies gravity,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"Balamps: A minimalist table lamp, using tensegrity, a balance of tension and compression, for stability. Versatile design with a floating appearance, allowing for customizable lighting effects through structure adjustments",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/screenshot-2023-09-02-131220_1693665943_1800x1010.png,https://ddw.nl/en/programme/10809/balamps,,
55,"BEADS connect to play, play to connect",,"Station area, Design Perron, Fuutlaan 12",Free,"This project consists of a playing field and a big collection of colorful beads in different shapes, sizes and materials. People are invited to assemble their own necklace in a playful way. They do this together with others and connect with them by talking about fun, happiness and by playing.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/foto-1-ddw_1692625946_1800x1010.jpg,https://ddw.nl/en/programme/10537/beads-connect-to-play-play-to-connect,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Social Design
56,Beaver Dreams,"Borrowing something from someone without their consent, accidentally breaking it and trying to repair it, hoping they won’t notice.","Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"In the work and my artistic identity I balance different aesthetics and actively avoid to pinpoint or categorize. Respectfully bringing something out of a context into my own, whilst creating a form language based on different interests and disregarding prevailing notions of function, medium/field.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/beaver-dreams-bench-front_1693575365_1800x1010.jpg,https://ddw.nl/en/programme/10565/beaver-dreams,,
57,Beetle Convicted After Spruce Found Dead,North Rhine-Westphalia - Defective judgement in case of the biggest biological loss of forest in Germany,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Germany witnesses the greatest biological loss of forests in history. It is said to be caused by the overpopulated bark beetle. However, climate change, planting of spruce monocultures, war reparations, political decisions and eventually human neglect and ignorance have all played a major part.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/grad1_1691489682_1800x1010.png,https://ddw.nl/en/programme/10360/beetle-convicted-after-spruce-found-dead,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
58,Behind Bioinnovations,Biomaterials research through interdisciplinary collaboration,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"Aalto University Bioinnovation Center focuses on sustainable bio-based materials, aiming to help the transition towards bio and circular economy. The Center brings together diverse people with different expertise to enhance unexpected findings and breakthroughs in material research.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/wheat-straw-tiina-otala3-chemarts2022-photo-esa-kapila-copy_1694067513_1800x1010.jpeg,https://ddw.nl/en/programme/9861/behind-bioinnovations,,
59,Beyond Disposable,Unveiling the Unseen Significance: Celebrating the Overlooked Role of the Plastic Bag,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,"To honour plastic bag’s utilitarian nature and its historical significance, it is reconceptualized as a luxurious item, distinguished by its rigid material and sophisticated presentation. It invites reflection on its role in our lives and a reconsideration of our relationship with everyday objects.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/chaewon-1_1693472344_1800x1010.jpg,https://ddw.nl/en/programme/10707/beyond-disposable,,
60,Beyond Disposal,The kick-off of a design project about household waste.,"Strijp T+R area, F O R M designlab, Halvemaanstraat 22",,F O R M is starting a multi-year lab-project on how we can better deal with household waste. The “Beyond Disposal” expo is about where design often starts: insight & inspiration. Instead of finding answers this phase of the project is about asking questions and exploring tangents.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/hero_1693551274_1800x1010.jpg,https://ddw.nl/en/programme/9715/beyond-disposal,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
61,Biloba,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"BILOBA delves into the captivating realm of the double, exploring the intricate dimension of duality where opposites interweave and objects seem to mirror one another. It centers on celebrating the distinctiveness of imperfection and dispelling the illusion of identicality.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/biloba-chair_1693510048_1800x1010.jpg,https://ddw.nl/en/programme/10795/biloba,,
62,Bioluminescence,Plant-Based Lighting Concepts,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"The Wasatch Design Collective is focused on solving problems through folding. We have designed a series of fold-it-yourself lamps made from bioplastics. By creating products in this way, we have reduced the amount of petroleum used in the manufacture and shipping of our production.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/fry-wide-lowres_1693666952_1800x1010.jpg,https://ddw.nl/en/programme/9978/bioluminescence,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN"", ""GROUP EXHIBITION""]",Design Research
63,Biophilic Design,,"Strijp-S area, Donna, Philitelaan 57",Free,"INinterieurs are the interior architects of the new Donna building at Strijp-S, but also of our showroom. They are experts in the field of Biophilic Design and also develop their own products with their brand; Plantzaam.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/voorbeeld-1_1689323040_1800x1010.jpg,https://ddw.nl/en/programme/10502/biophilic-design,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
64,Biophilic Design,Biophilic Design is a design vision that creates environments that respond to the human need for nature.,"Strijp-S area, Donna, Philitelaan 57",Free,"When you visit us you will learn all about the Biophilic Design concept in a fun way, you can relax in our jungle room, take a picture in our photo booth, swing with Strijp-S as your view and participate in various events! You can register via the Be-Max website (be quick!).",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/voorbeeld-1_1689175926_1800x1010.jpg,https://ddw.nl/en/programme/9678/biophilic-design,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
65,BIRNE,,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"BIRNE is a line of porcelain objects by ceramist Massimo Pavan.
The aesthetics aims at a meticulous repetition of lines and simple forms in limited pieces and variations.
A quiet reflection on simplicity and deep attention to details distinguish his practice. Each piece is wheel-thrown.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw01_1693511750_1800x1010.jpg,https://ddw.nl/en/programme/9977/birne,"[""EXHIBITIONS"", ""PRODUCT & CRAFT DESIGN""]",Craft Design
66,BLoOm – Connecting Urban Trees and Humans,An artificial Fruiting Body translating Urban Trees’ Stress Communication to Humans,"Station area, Design Perron, Fuutlaan 12",Free,"BLoOm is an artificial fruiting body that bridges the gap between trees and humans by translating the trees’ stress to humans. In an IoT network, BLoOm communicates with a sensor measuring the roots’ suction force. The sensor’s information is then translated into a pulsing light.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bloom-kim-kuhl-lowres_1694937411_1800x1010.jpg,https://ddw.nl/en/programme/11070/bloom-connecting-urban-trees-and-humans,,
67,BOOB TALK,A modular and wireless bra designed for large breasts using knit technology,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"BOOB TALK is a modular and wireless bra for large breasts that combines comfort, aesthetics and support in one product. Designed to meet the specific needs of large breasts, this bra is the result of several months of user research and is based on knitting technology.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bt-front_1696426033_1800x1010.jpg,https://ddw.nl/en/programme/11013/boob-talk,,
68,Bouwen aan de Bibliotheek van de Toekomst,Designing the Future Library powered by young minds in Brainport,"Centre area, Eindhoven Library, Emmasingel 22",Free,"15-25-year-olds shape the Library of the Future together with 8 libraries in the Brainport region. Concepts and minimal viable products redefine offerings of active reading, connecting and societal participation. Driven by young innovators who explore, design, build, test, learn, and iterate.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/20230418-103755_1692958259_1800x1010.jpg,https://ddw.nl/en/programme/10506/bouwen-aan-de-bibliotheek-van-de-toekomst,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
69,Bra+ve: Versatile Recovery Wear for Breast Cancer,Bra+ve is a postoperative bra designed for breast cancer patients to provide comfort and a positive experience during recovery.,"West area, Fashion Tech Farm, Zeelsterstraat 80",Free,"One in nine women have breast cancer procedures. Current rehabilitation products remain overlooked and outdated. Bra+ve results from a two-year practice-based design project in Aotearoa (New Zealand), exploring innovative 3D knit technology and a user-centred co-design process.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/brave_1694068719_1800x1010.jpg,https://ddw.nl/en/programme/9769/brave-versatile-recovery-wear-for-breast-cancer,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
70,brick walls and brick curtains and brick blankets,Material translation of old bricks from the demolished barn into new architectural and interior elements,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"The project is part of an ongoing investigation of bricks, focused on their ecological, architectural, and social aspects. Brick Works aims to narrate new ways of brick and architecture making and production of , made from bricks, objects, and materials.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/image-4_1696343195_1800x1010.jpg,https://ddw.nl/en/programme/10434/brick-walls-and-brick-curtains-and-brick-blankets,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT""]",Craft Design
71,Brick: a medium to reveal (de)colonial history,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"This critical design project researches the context and historical significance of Fort Zeelandia, Dutch Formosa (nowadays Taiwan). In the form of an educational toy, research zine, and interactive website, this project reveals how colonial dominance was represented through brick(laying).",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/fort-zeelandia-in-the-early-17th-century_1693472998_1800x1010.jpg,https://ddw.nl/en/programme/9915/brick-a-medium-to-reveal-decolonial-history,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
72,"Broccopork, Mushchicken and Peaf","Speculative design in the new age: TikTok is a new incubation for discussions of futures, where a good speculative designer is a popular TikToker","West area, Evoluon, Noord Brabantlaan 1A",Free with DDW Ticket,"This project explores how people will react to cultivated meat products in the future by introducing a set of fictional cultivated meat products via TikTok. The designed TikTok videos look at what debates, dialogues, and public discourse and context will happen and generate around lab-grown meat.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1_1692933178_1800x1010.jpg,https://ddw.nl/en/programme/9911/broccopork-mushchicken-and-peaf,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
73,BRUTALISTA,Functional objects created with ‘the brutal idea' – One Sheet. One Saw. One Object.,"Woensel area, Kelderman en van Noort (KEVN), Galileistraat 2",Free,"In the series of functional objects entitled ‘BRUTALISTA’, the designer takes over the tool from the craftsman, more specifically, the handsaw.
One sheet of timber-based material and the availability of only one handsaw is ‘the brutal idea’ behind this project – One Sheet. One Saw. One Object.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/brutalista-0102-c-dear-objects-marc-meeuwissen-ddw2023-lr1_1693391626_1800x1010.jpg,https://ddw.nl/en/programme/9976/brutalista,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Interior Design
74,Bubble Trouble,An artistic playground in the former Campina freezer warehouse exploring the illusion of comfort and safety of our constructed realities,"Canal area, Koelhuis Eindhoven, Dirk Boutslaan 1",Free,"With a selection of site-specific works and artistic interventions, Koelhuis Eindhoven opens its doors for the final time in its existing, raw state before renovation. Wander through a gigantic, inflatable structure, artificial scenery, and performances unfolding in the industrial heritage site.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bubbles-resized_1695391287_1800x1010.jpg,https://ddw.nl/en/programme/10648/bubble-trouble,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
75,Bücheria,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"A Queer and Feminist Neighbourhood Library in Wilhelmsburg. The project includes the concept and design of the library as well as the curation of the opening phase. According to an extended definition of design, all aspects of the project creation are part of the design.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/anna-unterstab-buecheria-gradshow-totale1-scaled_1694327148_1800x1010.jpg,https://ddw.nl/en/programme/11002/bucheria,,
